SEGGER J-Link V6.42b Log File
DLL Compiled: Feb  5 2019 17:31:40
Logging started @ 2019-05-28 20:46

T3ED8 008:931 JLINK_DEVICE_GetInfo(DeviceIndex = 171)  returns 0 (0000ms, 0156ms total)
T3ED8 008:931 JLINK_DEVICE_GetInfo(DeviceIndex = 172)  returns 0 (0000ms, 0156ms total)
T3ED8 008:931 JLINK_DEVICE_GetInfo(DeviceIndex = 173)  returns 0 (0000ms, 0156ms total)
T3ED8 008:931 JLINK_DEVICE_GetInfo(DeviceIndex = 174)  returns 0 (0000ms, 0156ms total)
T3ED8 008:931 JLINK_DEVICE_GetInfo(DeviceIndex = 175)  returns 0 (0000ms, 0156ms total)
T3ED8 008:931 JLINK_DEVICE_GetInfo(DeviceIndex = 176)  returns 0 (0000ms, 0156ms total)
T3ED8 008:931 JLINK_DEVICE_GetInfo(DeviceIndex = 177)  returns 0 (0000ms, 0156ms total)
T3ED8 008:931 JLINK_DEVICE_GetInfo(DeviceIndex = 178)  returns 0 (0000ms, 0156ms total)
T3ED8 008:931 JLINK_DEVICE_GetInfo(DeviceIndex = 179)  returns 0 (0000ms, 0156ms total)
T3ED8 008:931 JLINK_DEVICE_GetInfo(DeviceIndex = 180)  returns 0 (0000ms, 0156ms total)
T3ED8 008:931 JLINK_DEVICE_GetInfo(DeviceIndex = 181)  returns 0 (0000ms, 0156ms total)
T3ED8 008:931 JLINK_DEVICE_GetInfo(DeviceIndex = 182)  returns 0 (0000ms, 0156ms total)
T3ED8 008:931 JLINK_DEVICE_GetInfo(DeviceIndex = 183)  returns 0 (0000ms, 0156ms total)
T3ED8 008:931 JLINK_DEVICE_GetInfo(DeviceIndex = 184)  returns 0 (0000ms, 0156ms total)
T3ED8 008:931 JLINK_DEVICE_GetInfo(DeviceIndex = 185)  returns 0 (0000ms, 0156ms total)
T3ED8 008:931 JLINK_DEVICE_GetInfo(DeviceIndex = 186)  returns 0 (0000ms, 0156ms total)
T3ED8 008:931 JLINK_DEVICE_GetInfo(DeviceIndex = 187)  returns 0 (0000ms, 0156ms total)
T3ED8 008:931 JLINK_DEVICE_GetInfo(DeviceIndex = 188)  returns 0 (0000ms, 0156ms total)
T3ED8 008:931 JLINK_DEVICE_GetInfo(DeviceIndex = 189)  returns 0 (0000ms, 0156ms total)
T3ED8 008:931 JLINK_DEVICE_GetInfo(DeviceIndex = 190)  returns 0 (0000ms, 0156ms total)
T3ED8 008:931 JLINK_DEVICE_GetInfo(DeviceIndex = 191)  returns 0 (0000ms, 0156ms total)
T3ED8 008:931 JLINK_DEVICE_GetInfo(DeviceIndex = 192)  returns 0 (0000ms, 0156ms total)
T3ED8 008:931 JLINK_DEVICE_GetInfo(DeviceIndex = 193)  returns 0 (0000ms, 0156ms total)
T3ED8 008:931 JLINK_DEVICE_GetInfo(DeviceIndex = 194)  returns 0 (0000ms, 0156ms total)
